s.id,t.id
SPE000176,TOP000511
SPE000177,TOP000512
SPE000177,TOP000724
SPE000177,TOP000115
SPE000177,TOP000154
SPE000178,TOP000515
SPE000178,TOP000514
SPE000178,TOP000513
SPE000179,TOP000518
SPE000179,TOP000517
SPE000179,TOP000516
SPE000180,TOP000524
SPE000180,TOP000523
SPE000180,TOP000522
SPE000181,TOP000527
SPE000181,TOP000526
SPE000181,TOP000525
SPE000182,TOP000530
SPE000182,TOP000529
SPE000182,TOP000528
SPE000183,TOP000533
SPE000183,TOP000531
SPE000183,TOP000532
SPE000184,TOP000115
SPE000184,TOP000539
SPE000184,TOP000538
SPE000184,TOP000018
SPE000185,TOP000541
SPE000185,TOP000540
SPE000185,TOP000542
SPE000186,TOP000543
SPE000186,TOP000545
SPE000186,TOP000544
SPE000187,TOP000547
SPE000187,TOP000546
SPE000187,TOP000018
SPE000188,TOP000548
SPE000188,TOP000024
SPE000188,TOP000549
SPE000189,TOP000552
SPE000189,TOP000550
SPE000189,TOP000551
SPE000190,TOP000553
SPE000190,TOP000555
SPE000190,TOP000554
SPE000191,TOP000556
SPE000191,TOP000557
SPE000191,TOP000558
SPE000192,TOP000559
SPE000192,TOP000803
SPE000192,TOP000727
SPE000192,TOP000560
SPE000192,TOP000726
SPE000192,TOP000561
SPE000192,TOP000725
SPE000192,TOP000804
SPE000192,TOP000805
SPE000193,TOP000562
SPE000193,TOP000563
SPE000193,TOP000564
SPE000194,TOP000115
SPE000194,TOP000018
SPE000194,TOP000565
SPE000195,TOP000567
SPE000195,TOP000568
SPE000195,TOP000566
SPE000196,TOP000153
SPE000196,TOP000570
SPE000196,TOP000569
SPE000197,TOP001825
SPE000197,TOP000572
SPE000197,TOP001823
SPE000197,TOP000573
SPE000197,TOP001824
SPE000197,TOP001752
SPE000197,TOP001750
SPE000197,TOP000571
SPE000197,TOP001751
SPE000198,TOP000575
SPE000198,TOP000574
SPE000198,TOP000576
SPE000199,TOP000577
SPE000199,TOP000578
SPE000199,TOP000579
SPE000200,TOP000636
SPE000200,TOP000582
SPE000200,TOP000637
SPE000200,TOP000584
SPE000200,TOP000638
SPE000200,TOP000583
SPE000201,TOP000587
SPE000201,TOP002597
SPE000201,TOP002738
SPE000201,TOP001599
SPE000201,TOP001086
SPE000201,TOP000585
SPE000201,TOP001719
SPE000201,TOP001598
SPE000201,TOP001720
SPE000201,TOP002737
SPE000201,TOP002598
SPE000201,TOP002739
SPE000201,TOP000062
SPE000201,TOP001085
SPE000201,TOP000586
SPE000201,TOP001317
SPE000201,TOP001319
SPE000201,TOP001597
SPE000201,TOP001087
SPE000201,TOP001721
SPE000201,TOP001318
SPE000202,TOP000588
SPE000202,TOP000589
SPE000202,TOP000590
SPE000203,TOP000593
SPE000203,TOP000592
SPE000203,TOP002714
SPE000203,TOP002715
SPE000203,TOP002716
SPE000203,TOP000591
SPE000204,TOP000203
SPE000204,TOP000597
SPE000204,TOP000076
SPE000205,TOP000600
SPE000205,TOP000598
SPE000205,TOP000599
SPE000206,TOP000601
SPE000206,TOP000602
SPE000206,TOP000603
SPE000207,TOP000606
SPE000207,TOP000604
SPE000207,TOP000605
SPE000208,TOP000115
SPE000208,TOP000539
SPE000208,TOP000018
SPE000210,TOP000607
SPE000210,TOP000609
SPE000210,TOP000608
SPE000211,TOP000611
SPE000211,TOP000612
SPE000211,TOP000610
SPE000212,TOP000613
SPE000212,TOP000614
SPE000212,TOP000585
SPE000213,TOP000615
SPE000213,TOP000617
SPE000213,TOP000616
SPE000214,TOP000620
SPE000214,TOP000619
SPE000214,TOP000618
SPE000215,TOP000621
SPE000215,TOP000623
SPE000215,TOP000622
SPE000216,TOP000625
SPE000216,TOP000626
SPE000216,TOP000624
SPE000217,TOP000627
SPE000217,TOP000629
SPE000217,TOP000628
SPE000218,TOP000632
SPE000218,TOP000631
SPE000218,TOP000630
SPE000219,TOP000633
SPE000219,TOP000634
SPE000219,TOP000635
SPE000220,TOP000639
SPE000220,TOP000641
SPE000220,TOP000640
SPE000221,TOP000643
SPE000221,TOP000642
SPE000221,TOP000644
SPE000222,TOP000645
SPE000222,TOP000647
SPE000222,TOP000646
SPE000223,TOP000648
SPE000223,TOP000649
SPE000223,TOP000650
SPE000224,TOP000653
SPE000224,TOP000651
SPE000224,TOP000652
SPE000225,TOP000656
SPE000225,TOP000654
SPE000225,TOP000655
SPE000226,TOP000153
SPE000226,TOP000657
SPE000226,TOP000658
SPE000227,TOP000661
SPE000227,TOP000660
SPE000227,TOP000659
SPE000228,TOP000662
SPE000228,TOP000663
SPE000228,TOP000664
SPE000229,TOP000666
SPE000229,TOP000665
SPE000229,TOP000667
SPE000230,TOP000674
SPE000230,TOP000676
SPE000230,TOP000675
SPE000231,TOP000677
SPE000231,TOP000076
SPE000231,TOP000678
SPE000232,TOP000668
SPE000232,TOP000680
SPE000232,TOP000679
SPE000233,TOP000682
SPE000233,TOP000681
SPE000233,TOP000683
SPE000234,TOP000685
SPE000234,TOP000686
SPE000234,TOP000684
SPE000235,TOP000687
SPE000235,TOP000689
SPE000235,TOP000688
SPE000236,TOP000692
SPE000236,TOP000690
SPE000236,TOP000691
SPE000237,TOP000018
SPE000237,TOP000693
SPE000237,TOP000153
SPE000238,TOP000695
SPE000238,TOP001641
SPE000238,TOP000696
SPE000238,TOP001642
SPE000238,TOP001640
SPE000238,TOP000694
SPE000239,TOP000714
SPE000239,TOP000698
SPE000239,TOP000697
SPE000239,TOP000539
SPE000239,TOP000115
SPE000240,TOP000701
SPE000240,TOP000700
SPE000240,TOP000702
SPE000241,TOP000076
SPE000241,TOP000703
SPE000241,TOP000453
SPE000241,TOP000018
SPE000241,TOP000743
SPE000242,TOP000706
SPE000242,TOP000704
SPE000242,TOP000705
SPE000243,TOP000708
SPE000243,TOP000709
SPE000243,TOP000707
SPE000244,TOP000712
SPE000244,TOP000711
SPE000244,TOP000710
SPE000245,TOP000713
SPE000245,TOP000197
SPE000245,TOP000539
SPE000245,TOP000153
SPE000246,TOP000717
SPE000246,TOP000716
SPE000246,TOP000715
SPE000247,TOP000720
SPE000247,TOP000718
SPE000247,TOP000719
SPE000248,TOP000076
SPE000248,TOP000728
SPE000248,TOP000729
SPE000249,TOP000731
SPE000249,TOP000730
SPE000249,TOP000732
SPE000250,TOP000300
SPE000250,TOP000733
SPE000250,TOP000115
SPE000251,TOP000734
SPE000251,TOP000735
SPE000251,TOP000736
SPE000252,TOP000737
SPE000252,TOP000739
SPE000252,TOP000738
SPE000253,TOP000744
SPE000253,TOP000745
SPE000253,TOP000746
SPE000254,TOP000747
SPE000254,TOP000748
SPE000254,TOP000749
SPE000255,TOP000751
SPE000255,TOP000750
SPE000255,TOP000752
SPE000256,TOP000754
SPE000256,TOP000753
SPE000256,TOP000755
SPE000257,TOP000756
SPE000257,TOP000018
SPE000257,TOP000076
SPE000258,TOP000757
SPE000258,TOP000758
SPE000258,TOP000759
SPE000259,TOP000761
SPE000259,TOP000140
SPE000259,TOP000760
SPE000260,TOP000767
SPE000260,TOP000765
SPE000260,TOP000766
SPE000261,TOP000769
SPE000261,TOP000770
SPE000261,TOP000768
SPE000262,TOP000771
SPE000262,TOP000772
SPE000262,TOP000299
SPE000263,TOP000018
SPE000263,TOP000774
SPE000263,TOP000773
SPE000264,TOP000776
SPE000264,TOP000777
SPE000264,TOP000775
SPE000265,TOP000779
SPE000265,TOP000778
SPE000265,TOP000780
SPE000266,TOP000782
SPE000266,TOP000076
SPE000266,TOP000781
SPE000267,TOP000783
SPE000267,TOP000784
SPE000267,TOP000785
SPE000268,TOP000076
SPE000268,TOP000115
SPE000268,TOP000018
